year,ctrycode,lending,cap_raising,altfin
2020,ET,,.02160859,.021608589
2013,FI,19.3233181611,2.32422225,21.647539
2014,FI,18.59942,2.8961954,21.495617
2015,FI,60.43974880115177,10.46234712621999,70.9021
2016,FI,121.24270818666,36.16050548268699,157.40321
2017,FI,158.0669008297833,64.24779535893082,222.31468
2018,FI,300.3935110522499,78.798024859766,379.19153
2019,FI,435.4947162835776,23.32361161026914,458.81833
2020,FI,376.010114001941,19.32478403835037,395.3349
2018,FJ,.843325,.04178910744,.88511413
2019,FJ,.8049500000000001,,.80495
2020,FJ,.537625,.01282002,.55044502
2013,FR,58.61024451,29.82383952050096,99.083305
2014,FR,125.2139525,53.60409837937,198.56664
2015,FR,201.0373065690167,152.2410442099768,353.27838
2016,FR,343.6051780236299,147.7225913451455,491.32779
2017,FR,552.17060941581,195.0169025774957,747.27448
2018,FR,647.43415661265,279.4161415386309,933.13293
2019,FR,945.0399020451514,394.8519156122263,1339.8918
2020,FR,1262.851037896555,567.6262980749533,1830.4773
2015,GA,,.000021,.000021
2013,GB,904.889615229959,555.0364310757749,1467.7094
2014,GB,3124.747283115637,171.286230698094,3370.9595
2015,GB,3948.77863106757,608.2735375142187,4557.0522
2016,GB,5577.676132023833,630.1309067412653,6207.8071
2017,GB,7111.50434388768,843.5056340134416,8004.7837
2018,GB,9312.74954595758,937.736279574793,10358.633
2019,GB,8898.604078372864,2746.078350471305,11644.683
2020,GB,6769.94574004188,6655.131616307298,13425.077
2013,GE,.06640635,,.066406354
2014,GE,.132853,,.132853
2015,GE,.136117899942,.0432157656498629,.17933367
2016,GE,113.4597441510423,.0641251295669143,113.52387
2017,GE,195.7744589240512,.0098310294888808,195.78429
2018,GE,192.9726453252,.04435426,193.017
2019,GE,57.71213083360988,,57.712132
2020,GE,17.90986711377972,.00401145,17.913879
2013,GH,2.16935,1.079907896542888,3.249258
2014,GH,2.1012,.5991737250521646,2.7003736
2015,GH,3.217775,1.947772316045368,5.1655474
2016,GH,1.4265,.6574352250956679,2.0839353
2017,GH,1.799225,.366903842465,2.1661286
2018,GH,4.91039,.279836670916,5.1902266
2019,GH,585.43834473,.02518554947538,585.46356
2020,GH,527.8868574897328,.63429218761938,528.52118
2013,GM,,.003634,.003634
2014,GM,,.04355582161095,.043555818
2015,GM,,.0155899782827694,.015589979
2016,GM,,.0239908591095109,.02399086
2017,GM,,.011878,.011878
