year,ctrycode,resid_roe,resid_int
2018,GT,2.4453242,-28.648157
2019,GT,3.2399619,-27.808191
2020,GT,3.0361817,-27.66032
2021,GT,3.373275,-26.549873
2013,HK,-8.7282648,-6.5193596
2014,HK,-6.6176729,-2.0319443
2015,HK,-6.2234855,1.8437818
2016,HK,-8.2335768,-1.7492491
2017,HK,-5.461688,-2.1910744
2018,HK,-6.3014598,-2.8175561
2019,HK,-7.1632986,-4.3367682
2020,HK,-6.2679372,-5.913096
2021,HK,-8.1187019,-6.7800474
2015,HN,-.15914726,-31.671572
2016,HN,1.215521,-34.425583
2017,HN,.90980941,-35.079292
2018,HN,.36234733,-33.098991
2019,HN,-.29476717,-31.772104
2020,HN,-3.5645905,-30.045786
2021,HN,-3.8350608,-23.226162
2015,HR,-7.304832,-.10885798
2016,HR,-3.3413053,-4.9014492
2017,HR,-7.9169197,-12.756707
2018,HR,-6.6074238,-8.1291361
2019,HR,-3.2938626,-6.7121663
2020,HR,-4.751339,-9.2795868
2021,HR,-4.3152962,-8.1213665
2013,HT,-.22843647,-45.605869
2014,HT,1.5276729,-44.919918
2015,HT,3.916621,-42.947277
2016,HT,-1.3794808,-41.883915
2017,HT,-4.7403703,-41.517311
2018,HT,-.99633658,-34.481842
2019,HT,2.5120859,-30.275455
2020,HT,-1.2590485,
2021,HT,1.2890698,
2013,HU,-23.810217,1.2369045
2014,HU,-27.676527,4.882113
2015,HU,-22.994556,-1.4711069
2016,HU,-10.965199,-1.6102099
2017,HU,-10.167261,-6.2124672
2018,HU,-7.8008671,-7.4208288
2019,HU,-7.8347883,-5.213675
2020,HU,-11.364731,-2.5264146
2021,HU,-6.7918601,-2.0396621
2013,ID,-7.5804424,-47.081432
2014,ID,-10.75473,-47.620361
2015,ID,-10.413003,-42.400913
2016,ID,-11.456508,-46.842972
2017,ID,-10.564668,-43.044987
2018,ID,-11.249091,-37.3433
2019,ID,-11.396762,-32.422264
2020,ID,-11.41997,-29.489145
2021,ID,-11.77045,-25.113243
2014,IE,-14.693636,3.5931876
2015,IE,-14.661525,7.5271745
2016,IE,-5.0373588,-1.4832981
2017,IE,-9.9244614,.66701162
2018,IE,-8.0829697,.47466174
2019,IE,-10.207667,-1.7579802
2020,IE,-14.713391,1.3190653
